Preprocessing,Balanced,Accuracy,Precision,F1-Score,Avg TPR (Sensitivity),Avg FPR,Avg TNR (Specificity),Avg FNR,AUC
Raw,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Raw,No,0.35859375,0.089648438,0.131972398,0.25,0.25,0.75,0.75,0.93938788
Bilateral Filter,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Bilateral Filter,No,0.54765625,0.551316528,0.353033237,0.465361539,0.132899906,0.867100094,0.534638461,0.983690469
Crop,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Crop,No,0.50078125,0.624509034,0.179120763,0.256539114,0.247291022,0.752708978,0.743460886,0.974479885
Gaussian Blur,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Gaussian Blur,No,0.7984375,0.906643357,0.669134921,0.64012117,0.078404979,0.921595021,0.35987883,0.994843168
Local Contrast,Yes,0.3875,0.449530172,0.359187224,0.609082283,0.200394753,0.799605247,0.390917717,0.784317506
Local Contrast,No,0.6625,0.549864499,0.38512109,0.391021427,0.154816362,0.845183638,0.608978573,0.887267606
Median Blur,Yes,0.4953125,0.123828125,0.165621735,0.25,0.25,0.75,0.75,0.5
Median Blur,No,0.6609375,0.734984926,0.510993995,0.48788443,0.165781787,0.834218213,0.51211557,0.975560871
Min Max Scaling,Yes,0.58203125,0.484429644,0.503971663,0.679682591,0.154407796,0.845592204,0.320317409,0.835434384
Min Max Scaling,No,0.609375,0.302119688,0.364994044,0.462209302,0.177523304,0.822476696,0.537790698,0.96491084
Z Score Standardization,Yes,0.59765625,0.562660271,0.603649479,0.690370116,0.157191666,0.842808334,0.309629884,0.844516064
Z Score Standardization,No,0.759375,0.914492241,0.703313886,0.633525232,0.118865086,0.881134914,0.366474768,0.990517518
